berkas,gambar_sumber,det_id,dugaan_awal,label,conf,bbox,lebar_px,tinggi_px
ayam (1)_det046.jpg,ayam (1).jpg,46,,,0.7534,0.0 162.9 18.7 199.1,19,36
ayam (1)_det047.jpg,ayam (1).jpg,47,,,0.7533,296.8 89.8 347.1 122.2,50,32
ayam (1)_det048.jpg,ayam (1).jpg,48,,,0.752,28.6 53.8 57.8 99.3,29,46
ayam (1)_det049.jpg,ayam (1).jpg,49,,,0.7484,112.4 253.9 146.4 298.4,34,44
ayam (1)_det050.jpg,ayam (1).jpg,50,,,0.7396,0.1 332.7 29.6 410.9,30,78
ayam (1)_det051.jpg,ayam (1).jpg,51,,,0.7387,47.6 2.2 75.7 39.2,28,37
ayam (1)_det052.jpg,ayam (1).jpg,52,,,0.7297,0.8 198.3 83.0 253.2,82,55
ayam (1)_det053.jpg,ayam (1).jpg,53,,,0.7214,233.6 0.0 275.2 26.7,42,27
ayam (1)_det054.jpg,ayam (1).jpg,54,,,0.7196,0.1 305.4 12.8 356.4,13,51
ayam (1)_det055.jpg,ayam (1).jpg,55,,,0.7122,22.4 0.9 54.1 45.6,32,45
ayam (1)_det056.jpg,ayam (1).jpg,56,,,0.7113,124.0 0.0 164.5 12.5,40,12
ayam (1)_det057.jpg,ayam (1).jpg,57,,,0.7102,61.6 56.0 85.2 95.2,24,39
ayam (1)_det058.jpg,ayam (1).jpg,58,,,0.71,33.9 145.2 90.1 195.9,56,51
ayam (1)_det059.jpg,ayam (1).jpg,59,,,0.6573,0.0 26.6 25.1 54.6,25,28
ayam (1)_det060.jpg,ayam (1).jpg,60,,,0.6347,339.2 387.8 383.7 431.9,44,44
ayam (1)_det061.jpg,ayam (1).jpg,61,,,0.6239,148.2 79.3 187.9 116.6,40,37
ayam (1)_det062.jpg,ayam (1).jpg,62,,,0.614,327.3 36.0 379.6 70.8,52,35
ayam (1)_det063.jpg,ayam (1).jpg,63,,,0.5962,7.4 211.2 82.2 253.4,75,42
ayam (1)_det064.jpg,ayam (1).jpg,64,,,0.5959,0.0 102.7 10.7 138.3,11,36
ayam (1)_det065.jpg,ayam (1).jpg,65,,,0.5498,67.9 0.0 104.7 19.8,37,20
ayam (1)_det066.jpg,ayam (1).jpg,66,,,0.5475,48.4 155.8 91.1 213.1,43,57
ayam (1)_det067.jpg,ayam (1).jpg,67,,,0.54,0.0 5.2 24.9 29.9,25,25
ayam (1)_det068.jpg,ayam (1).jpg,68,,,0.5326,124.8 70.9 154.0 102.0,29,31
ayam (1)_det069.jpg,ayam (1).jpg,69,,,0.5318,89.5 172.1 132.8 224.9,43,53
ayam (1)_det070.jpg,ayam (1).jpg,70,,,0.4172,55.8 351.4 92.0 415.6,36,64
ayam (1)_det071.jpg,ayam (1).jpg,71,,,0.4032,180.8 0.0 211.7 15.4,31,15
ayam (1)_det072.jpg,ayam (1).jpg,72,,,0.3831,126.5 54.2 177.6 91.7,51,38
ayam (1)_det073.jpg,ayam (1).jpg,73,,,0.3551,0.0 269.0 8.3 304.9,8,36
ayam (1)_det074.jpg,ayam (1).jpg,74,,,0.3373,131.3 19.4 167.0 44.2,36,25
ayam (1)_det075.jpg,ayam (1).jpg,75,,,0.3242,13.7 395.2 53.3 431.9,40,37
ayam (1)_det076.jpg,ayam (1).jpg,76,,,0.292,67.7 0.1 116.7 17.8,49,18
ayam (1)_det077.jpg,ayam (1).jpg,77,,,0.2735,125.9 19.4 169.8 68.2,44,49
ayam (1)_det078.jpg,ayam (1).jpg,78,,,0.2723,125.5 33.2 167.1 67.9,42,35
ayam (1)_det079.jpg,ayam (1).jpg,79,,,0.2561,0.0 235.2 21.3 277.7,21,42
ayam (10)_det000.jpg,ayam (10).jpg,0,,,0.9085,0.0 114.6 42.0 156.0,42,41
ayam (10)_det001.jpg,ayam (10).jpg,1,,,0.8956,318.7 172.6 368.1 224.2,49,52
ayam (10)_det002.jpg,ayam (10).jpg,2,,,0.8912,360.9 212.4 404.3 257.4,43,45
ayam (10)_det003.jpg,ayam (10).jpg,3,,,0.8871,129.7 231.3 179.4 273.8,50,42
ayam (10)_det004.jpg,ayam (10).jpg,4,,,0.8832,129.8 358.7 174.6 423.1,45,64
ayam (10)_det005.jpg,ayam (10).jpg,5,,,0.8831,230.2 122.5 282.9 159.2,53,37
ayam (10)_det006.jpg,ayam (10).jpg,6,,,0.8815,279.6 122.9 330.4 164.9,51,42
ayam (10)_det007.jpg,ayam (10).jpg,7,,,0.8809,40.9 40.0 75.9 69.6,35,30
ayam (10)_det008.jpg,ayam (10).jpg,8,,,0.8778,20.1 158.0 66.2 193.5,46,36
ayam (10)_det009.jpg,ayam (10).jpg,9,,,0.8774,170.0 86.9 218.3 118.3,48,31
ayam (10)_det010.jpg,ayam (10).jpg,10,,,0.8757,176.0 126.0 228.4 174.1,52,48
ayam (10)_det011.jpg,ayam (10).jpg,11,,,0.8755,94.3 327.7 163.2 368.8,69,41
ayam (10)_det012.jpg,ayam (10).jpg,12,,,0.8742,50.5 347.8 91.6 421.0,41,73
ayam (10)_det013.jpg,ayam (10).jpg,13,,,0.8731,194.8 1.9 242.6 30.8,48,29
ayam (10)_det014.jpg,ayam (10).jpg,14,,,0.8719,291.2 346.3 357.7 408.9,66,63
ayam (10)_det015.jpg,ayam (10).jpg,15,,,0.8673,352.9 349.8 403.1 418.3,50,68
ayam (10)_det016.jpg,ayam (10).jpg,16,,,0.8651,271.6 312.4 342.1 357.8,70,45
ayam (10)_det017.jpg,ayam (10).jpg,17,,,0.8646,39.9 261.7 96.8 303.6,57,42
ayam (10)_det018.jpg,ayam (10).jpg,18,,,0.8626,84.5 153.1 142.2 194.8,58,42
ayam (10)_det019.jpg,ayam (10).jpg,19,,,0.8593,70.3 303.9 123.0 351.4,53,48
ayam (10)_det020.jpg,ayam (10).jpg,20,,,0.8576,338.6 75.5 385.5 101.8,47,26
ayam (10)_det021.jpg,ayam (10).jpg,21,,,0.857,164.4 258.7 236.3 308.2,72,50
ayam (10)_det022.jpg,ayam (10).jpg,22,,,0.855,212.7 171.0 277.0 234.1,64,63
ayam (10)_det023.jpg,ayam (10).jpg,23,,,0.8543,169.5 347.6 226.1 429.2,57,82
ayam (10)_det024.jpg,ayam (10).jpg,24,,,0.8539,378.7 332.2 432.0 395.0,53,63
ayam (10)_det025.jpg,ayam (10).jpg,25,,,0.8532,10.9 0.0 37.6 16.5,27,16
ayam (10)_det026.jpg,ayam (10).jpg,26,,,0.8502,174.3 319.4 263.4 365.1,89,46
ayam (10)_det027.jpg,ayam (10).jpg,27,,,0.8498,240.9 252.4 301.5 297.8,61,45
ayam (10)_det028.jpg,ayam (10).jpg,28,,,0.8498,85.1 367.3 139.9 427.5,55,60
ayam (10)_det029.jpg,ayam (10).jpg,29,,,0.8472,196.2 29.6 246.4 75.2,50,46
ayam (10)_det030.jpg,ayam (10).jpg,30,,,0.8468,120.4 199.5 170.7 240.0,50,40
ayam (10)_det031.jpg,ayam (10).jpg,31,,,0.8462,331.4 136.9 386.6 174.8,55,38
ayam (10)_det032.jpg,ayam (10).jpg,32,,,0.842,200.5 92.0 248.2 127.8,48,36
ayam (10)_det033.jpg,ayam (10).jpg,33,,,0.8407,37.4 173.1 88.0 214.7,51,42
ayam (10)_det034.jpg,ayam (10).jpg,34,,,0.8399,216.6 367.1 292.4 428.4,76,61
ayam (10)_det035.jpg,ayam (10).jpg,35,,,0.8301,136.3 3.0 196.0 41.7,60,39
ayam (10)_det036.jpg,ayam (10).jpg,36,,,0.8298,145.1 40.5 199.4 82.8,54,42
ayam (10)_det037.jpg,ayam (10).jpg,37,,,0.824,5.2 365.1 53.9 429.2,49,64
ayam (10)_det038.jpg,ayam (10).jpg,38,,,0.8182,294.5 221.3 364.7 261.3,70,40
ayam (10)_det039.jpg,ayam (10).jpg,39,,,0.8165,330.5 93.0 372.8 118.4,42,25
ayam (10)_det040.jpg,ayam (10).jpg,40,,,0.8141,336.8 114.7 380.6 145.9,44,31
ayam (10)_det041.jpg,ayam (10).jpg,41,,,0.814,219.8 287.9 285.0 330.6,65,43
ayam (10)_det042.jpg,ayam (10).jpg,42,,,0.8082,325.1 18.1 370.4 59.7,45,42
ayam (10)_det043.jpg,ayam (10).jpg,43,,,0.8077,361.3 158.7 396.6 203.5,35,45
ayam (10)_det044.jpg,ayam (10).jpg,44,,,0.8029,312.4 248.1 365.1 304.4,53,56
ayam (10)_det045.jpg,ayam (10).jpg,45,mati,,0.7955,78.3 191.9 131.9 243.7,54,52
ayam (10)_det046.jpg,ayam (10).jpg,46,,,0.7914,0.0 59.9 42.7 91.9,43,32
ayam (10)_det047.jpg,ayam (10).jpg,47,,,0.7736,88.8 0.0 119.4 15.0,31,15
ayam (10)_det048.jpg,ayam (10).jpg,48,,,0.7733,120.1 59.0 168.0 99.8,48,41
ayam (10)_det049.jpg,ayam (10).jpg,49,,,0.7716,293.6 117.4 343.7 143.8,50,26
ayam (10)_det050.jpg,ayam (10).jpg,50,,,0.7697,236.3 81.2 295.4 128.1,59,47
ayam (10)_det051.jpg,ayam (10).jpg,51,,,0.7609,0.1 27.2 16.4 56.9,16,30
ayam (10)_det052.jpg,ayam (10).jpg,52,,,0.7589,5.9 39.2 39.7 64.1,34,25
ayam (10)_det053.jpg,ayam (10).jpg,53,,,0.7581,411.7 52.7 432.0 82.2,20,30
ayam (10)_det054.jpg,ayam (10).jpg,54,,,0.7538,414.8 0.0 432.0 11.5,17,12
ayam (10)_det055.jpg,ayam (10).jpg,55,,,0.7518,40.0 129.1 68.1 160.2,28,31
ayam (10)_det056.jpg,ayam (10).jpg,56,,,0.7444,0.1 357.7 13.5 414.9,13,57
ayam (10)_det057.jpg,ayam (10).jpg,57,,,0.7423,211.2 146.7 261.6 180.4,50,34
ayam (10)_det058.jpg,ayam (10).jpg,58,,,0.708,3.7 226.8 47.6 279.1,44,52
ayam (10)_det059.jpg,ayam (10).jpg,59,,,0.705,402.3 213.2 430.7 254.1,28,41
ayam (10)_det060.jpg,ayam (10).jpg,60,,,0.6777,26.3 311.1 61.1 355.1,35,44
ayam (10)_det061.jpg,ayam (10).jpg,61,,,0.6582,0.1 0.0 13.2 16.9,13,17
ayam (10)_det062.jpg,ayam (10).jpg,62,,,0.6529,99.2 416.6 173.3 432.0,74,15
ayam (10)_det063.jpg,ayam (10).jpg,63,,,0.6405,404.7 30.6 431.6 55.2,27,25
ayam (10)_det064.jpg,ayam (10).jpg,64,,,0.6151,0.0 203.4 8.5 259.4,8,56
ayam (10)_det065.jpg,ayam (10).jpg,65,,,0.6044,18.5 418.5 85.2 432.0,67,14
ayam (10)_det066.jpg,ayam (10).jpg,66,,,0.5871,320.5 0.1 367.6 9.3,47,9
ayam (10)_det067.jpg,ayam (10).jpg,67,,,0.5783,384.4 137.4 412.9 159.9,28,22
ayam (10)_det068.jpg,ayam (10).jpg,68,,,0.5755,89.2 23.3 128.4 58.5,39,35
ayam (10)_det069.jpg,ayam (10).jpg,69,,,0.552,148.6 0.0 188.8 10.1,40,10
ayam (10)_det070.jpg,ayam (10).jpg,70,,,0.5518,411.4 80.0 432.0 117.8,21,38
ayam (10)_det071.jpg,ayam (10).jpg,71,,,0.5207,307.1 96.2 344.6 124.2,38,28
ayam (10)_det072.jpg,ayam (10).jpg,72,,,0.4913,359.0 20.4 388.0 48.1,29,28
ayam (10)_det073.jpg,ayam (10).jpg,73,,,0.4345,45.5 77.0 82.3 104.3,37,27
ayam (10)_det074.jpg,ayam (10).jpg,74,,,0.4267,62.9 134.4 102.3 173.2,39,39
ayam (10)_det075.jpg,ayam (10).jpg,75,,,0.4075,414.0 123.8 431.9 176.2,18,52
ayam (10)_det076.jpg,ayam (10).jpg,76,,,0.3669,62.9 135.8 88.5 173.4,26,38
ayam (10)_det077.jpg,ayam (10).jpg,77,,,0.3598,0.0 2.9 11.4 27.5,11,25
ayam (10)_det078.jpg,ayam (10).jpg,78,,,0.3381,0.0 53.0 13.8 78.6,14,26
ayam (10)_det079.jpg,ayam (10).jpg,79,,,0.3319,42.1 112.5 90.8 141.2,49,29
ayam (10)_det080.jpg,ayam (10).jpg,80,,,0.3207,380.8 259.7 431.8 325.9,51,66
ayam (10)_det081.jpg,ayam (10).jpg,81,,,0.2906,78.7 67.4 113.8 105.0,35,38
ayam (11)_det000.jpg,ayam (11).png,0,,,0.8826,0.0 331.1 47.4 378.1,47,47
ayam (11)_det001.jpg,ayam (11).png,1,,,0.8766,242.5 303.9 282.8 368.4,40,64
ayam (11)_det002.jpg,ayam (11).png,2,,,0.8673,338.9 342.0 378.0 379.6,39,38
ayam (11)_det003.jpg,ayam (11).png,3,,,0.8628,69.1 142.4 131.8 205.8,63,63
ayam (11)_det004.jpg,ayam (11).png,4,,,0.8593,274.5 302.8 326.1 345.3,52,42
ayam (11)_det005.jpg,ayam (11).png,5,,,0.8563,272.7 67.1 335.9 137.4,63,70
ayam (11)_det006.jpg,ayam (11).png,6,,,0.8549,138.2 207.5 192.0 262.4,54,55
ayam (11)_det007.jpg,ayam (11).png,7,,,0.8534,200.3 327.9 248.5 394.5,48,67
ayam (11)_det008.jpg,ayam (11).png,8,,,0.8523,42.7 318.6 98.5 383.2,56,65
ayam (11)_det009.jpg,ayam (11).png,9,,,0.8517,122.4 248.1 181.0 294.7,59,47
ayam (11)_det010.jpg,ayam (11).png,10,,,0.8484,272.5 344.9 326.8 399.7,54,55
ayam (11)_det011.jpg,ayam (11).png,11,,,0.8454,287.8 218.9 356.4 275.6,69,57
ayam (11)_det012.jpg,ayam (11).png,12,,,0.8442,369.5 154.7 400.0 210.3,30,56
ayam (11)_det013.jpg,ayam (11).png,13,,,0.8436,266.6 259.1 323.7 310.5,57,51
ayam (11)_det014.jpg,ayam (11).png,14,,,0.8428,81.1 257.6 135.3 323.5,54,66
ayam (11)_det015.jpg,ayam (11).png,15,,,0.8414,340.3 254.9 385.8 316.2,46,61
ayam (11)_det016.jpg,ayam (11).png,16,,,0.8366,309.4 139.2 367.6 216.7,58,78
ayam (11)_det017.jpg,ayam (11).png,17,,,0.8356,32.2 0.0 91.7 43.9,60,44
ayam (11)_det018.jpg,ayam (11).png,18,,,0.8341,25.1 71.7 112.5 132.2,87,60
ayam (11)_det019.jpg,ayam (11).png,19,,,0.8326,0.0 160.7 65.6 239.1,66,78
ayam (11)_det020.jpg,ayam (11).png,20,,,0.8322,90.6 322.8 135.2 386.2,45,63
ayam (11)_det021.jpg,ayam (11).png,21,,,0.8275,0.0 254.0 69.1 307.3,69,53
ayam (11)_det022.jpg,ayam (11).png,22,,,0.823,132.7 106.1 193.3 172.1,61,66
ayam (11)_det023.jpg,ayam (11).png,23,,,0.8189,88.8 373.1 145.1 400.0,56,27
ayam (11)_det024.jpg,ayam (11).png,24,,,0.8169,318.2 339.8 342.8 389.4,25,50
ayam (11)_det025.jpg,ayam (11).png,25,,,0.8134,73.4 201.4 147.7 259.9,74,58
ayam (11)_det026.jpg,ayam (11).png,26,,,0.8098,272.1 0.0 333.3 29.7,61,30
ayam (11)_det027.jpg,ayam (11).png,27,,,0.8071,130.1 329.1 162.0 379.4,32,50
ayam (11)_det028.jpg,ayam (11).png,28,,,0.803,351.0 305.8 388.5 360.5,38,55
ayam (11)_det029.jpg,ayam (11).png,29,,,0.7914,361.7 372.9 399.9 399.9,38,27
ayam (11)_det030.jpg,ayam (11).png,30,,,0.7888,218.3 376.4 266.9 400.0,49,24
ayam (11)_det031.jpg,ayam (11).png,31,,,0.7818,383.8 309.0 400.0 348.7,16,40
ayam (11)_det032.jpg,ayam (11).png,32,,,0.7741,141.9 0.0 208.2 54.5,66,54
ayam (11)_det033.jpg,ayam (11).png,33,,,0.7371,378.6 97.3 400.0 157.3,21,60
ayam (11)_det034.jpg,ayam (11).png,34,,,0.7246,386.1 266.9 399.9 317.0,14,50
ayam (11)_det035.jpg,ayam (11).png,35,mati,,0.7158,22.6 275.8 84.6 333.6,62,58
ayam (11)_det036.jpg,ayam (11).png,36,,,0.7036,0.0 44.0 19.1 91.4,19,47
ayam (11)_det037.jpg,ayam (11).png,37,,,0.6818,330.4 378.1 367.6 399.9,37,22
ayam (11)_det038.jpg,ayam (11).png,38,,,0.6733,370.3 43.1 400.0 109.2,30,66
ayam (11)_det039.jpg,ayam (11).png,39,,,0.6227,0.0 138.5 32.1 189.8,32,51
ayam (11)_det040.jpg,ayam (11).png,40,,,0.6049,121.7 289.2 178.3 332.9,57,44
ayam (11)_det041.jpg,ayam (11).png,41,,,0.5029,128.0 155.5 189.4 213.4,61,58
ayam (11)_det042.jpg,ayam (11).png,42,,,0.4955,100.9 0.0 142.9 13.5,42,14
ayam (11)_det043.jpg,ayam (11).png,43,,,0.4507,190.0 271.5 244.0 310.9,54,39
ayam (11)_det044.jpg,ayam (11).png,44,,,0.4483,331.2 0.0 389.2 37.3,58,37
ayam (11)_det045.jpg,ayam (11).png,45,,,0.448,132.2 70.5 197.8 122.0,66,52
ayam (11)_det046.jpg,ayam (11).png,46,,,0.4407,187.2 226.4 246.2 275.5,59,49
ayam (11)_det047.jpg,ayam (11).png,47,,,0.4005,381.0 0.0 400.0 50.6,19,51
ayam (11)_det048.jpg,ayam (11).png,48,,,0.4003,189.2 84.4 233.4 132.6,44,48
ayam (11)_det049.jpg,ayam (11).png,49,,,0.3953,175.7 318.1 210.9 390.8,35,73
ayam (11)_det050.jpg,ayam (11).png,50,,,0.374,145.6 52.5 215.7 91.6,70,39
ayam (11)_det051.jpg,ayam (11).png,51,,,0.3669,138.8 369.8 166.2 398.2,27,28
ayam (11)_det052.jpg,ayam (11).png,52,,,0.3315,0.2 0.0 38.9 19.1,39,19
ayam (11)_det053.jpg,ayam (11).png,53,,,0.3302,0.3 0.0 38.8 29.6,38,30
ayam (2)_det000.jpg,ayam (2).jpg,0,,,0.9064,214.6 76.8 256.7 126.0,42,49
ayam (2)_det001.jpg,ayam (2).jpg,1,,,0.9008,314.7 126.7 361.3 169.6,47,43
ayam (2)_det002.jpg,ayam (2).jpg,2,,,0.8983,123.7 82.5 171.3 131.4,48,49
ayam (2)_det003.jpg,ayam (2).jpg,3,,,0.8922,101.4 8.7 157.3 41.9,56,33
ayam (2)_det004.jpg,ayam (2).jpg,4,,,0.8913,174.2 79.9 217.6 123.4,43,44
ayam (2)_det005.jpg,ayam (2).jpg,5,,,0.8905,19.1 174.1 86.8 218.0,68,44
ayam (2)_det006.jpg,ayam (2).jpg,6,,,0.8898,21.4 67.0 68.4 110.0,47,43
ayam (2)_det007.jpg,ayam (2).jpg,7,,,0.8847,111.2 164.6 175.5 213.9,64,49
ayam (2)_det008.jpg,ayam (2).jpg,8,,,0.8841,17.2 240.0 88.3 287.3,71,47
ayam (2)_det009.jpg,ayam (2).jpg,9,,,0.8841,102.1 226.1 166.8 278.4,65,52
ayam (2)_det010.jpg,ayam (2).jpg,10,,,0.879,65.6 68.3 126.9 107.6,61,39
ayam (2)_det011.jpg,ayam (2).jpg,11,,,0.8775,0.0 365.5 41.4 430.7,41,65
ayam (2)_det012.jpg,ayam (2).jpg,12,,,0.8752,222.7 169.1 299.8 214.0,77,45
ayam (2)_det013.jpg,ayam (2).jpg,13,,,0.8749,0.0 224.9 33.4 271.4,33,46
ayam (2)_det014.jpg,ayam (2).jpg,14,,,0.8735,237.8 116.5 285.8 172.6,48,56
ayam (2)_det015.jpg,ayam (2).jpg,15,,,0.8728,225.9 269.9 290.6 323.6,65,54
ayam (2)_det016.jpg,ayam (2).jpg,16,,,0.8721,193.6 4.9 243.6 35.7,50,31
ayam (2)_det017.jpg,ayam (2).jpg,17,mati,,0.872,9.7 109.1 67.3 155.1,58,46
ayam (2)_det018.jpg,ayam (2).jpg,18,,,0.8702,284.0 247.3 333.2 324.9,49,78
ayam (2)_det019.jpg,ayam (2).jpg,19,,,0.8653,164.2 32.9 230.3 71.2,66,38
ayam (2)_det020.jpg,ayam (2).jpg,20,,,0.8648,369.2 30.9 416.2 66.7,47,36
ayam (2)_det021.jpg,ayam (2).jpg,21,,,0.8642,35.2 380.4 115.0 431.6,80,51
ayam (2)_det022.jpg,ayam (2).jpg,22,,,0.8633,26.3 284.1 97.0 335.1,71,51
ayam (2)_det023.jpg,ayam (2).jpg,23,,,0.8625,173.8 265.1 228.1 347.1,54,82
ayam (2)_det024.jpg,ayam (2).jpg,24,,,0.8623,177.9 135.8 243.9 181.4,66,46
ayam (2)_det025.jpg,ayam (2).jpg,25,,,0.8622,231.2 45.4 291.9 78.3,61,33
ayam (2)_det026.jpg,ayam (2).jpg,26,mati,,0.8569,26.4 330.6 86.1 383.2,60,53
ayam (2)_det027.jpg,ayam (2).jpg,27,,,0.856,158.3 380.0 242.9 431.6,85,52
ayam (2)_det028.jpg,ayam (2).jpg,28,,,0.8536,366.1 73.9 421.8 132.6,56,59
ayam (2)_det029.jpg,ayam (2).jpg,29,,,0.852,239.9 322.6 307.1 401.8,67,79
ayam (2)_det030.jpg,ayam (2).jpg,30,,,0.8509,251.9 78.8 324.4 127.6,72,49
ayam (2)_det031.jpg,ayam (2).jpg,31,,,0.8492,400.4 123.8 432.0 167.1,32,43
ayam (2)_det032.jpg,ayam (2).jpg,32,,,0.8436,0.0 156.6 33.9 188.4,34,32
ayam (2)_det033.jpg,ayam (2).jpg,33,,,0.8414,249.5 390.6 325.8 432.0,76,41
ayam (2)_det034.jpg,ayam (2).jpg,34,,,0.8302,174.3 235.2 256.1 277.9,82,43
ayam (2)_det035.jpg,ayam (2).jpg,35,,,0.83,41.6 0.0 96.1 22.6,54,23
ayam (2)_det036.jpg,ayam (2).jpg,36,,,0.8294,115.1 331.7 180.9 401.1,66,69
ayam (2)_det037.jpg,ayam (2).jpg,37,,,0.8273,91.4 277.9 173.5 332.6,82,55
ayam (2)_det038.jpg,ayam (2).jpg,38,,,0.8225,0.0 290.4 28.4 342.1,28,52
ayam (2)_det039.jpg,ayam (2).jpg,39,,,0.8072,336.7 405.1 388.8 432.0,52,27
ayam (2)_det040.jpg,ayam (2).jpg,40,,,0.8059,62.4 102.9 115.7 151.7,53,49
ayam (2)_det041.jpg,ayam (2).jpg,41,,,0.7661,74.8 307.5 132.8 366.8,58,59
ayam (2)_det042.jpg,ayam (2).jpg,42,,,0.7551,258.0 21.7 322.0 63.1,64,41
ayam (2)_det043.jpg,ayam (2).jpg,43,,,0.7271,299.1 48.1 343.8 73.8,45,26
ayam (2)_det044.jpg,ayam (2).jpg,44,,,0.717,154.5 23.0 195.1 51.5,41,28
ayam (2)_det045.jpg,ayam (2).jpg,45,,,0.701,415.8 204.2 432.0 240.9,16,37
ayam (2)_det046.jpg,ayam (2).jpg,46,,,0.6928,281.5 0.0 320.9 11.0,39,11
ayam (2)_det047.jpg,ayam (2).jpg,47,,,0.6406,183.5 0.1 226.3 12.7,43,13
